4531,PIT,07:15,RDU,08:38,American Airlines,AA,False,Operated by Republic Airways on behalf of American Airlines,2024-09-18 07:51:12.728359
8465,PIT,07:19,SCE,08:10,Wiggins Airways,WIG,False,,2024-09-18 07:51:12.728359
5753,PIT,07:23,JFK,09:00,Delta Air Lines,DL,False,Operated by Republic Airways on behalf of Delta Air Lines,2024-09-18 07:51:12.728359
4388,PIT,07:30,BNA,08:00,Southwest Airlines,WN,False,,2024-09-18 07:51:12.728359
1885,PIT,07:40,PHX,09:08,American Airlines,AA,False,,2024-09-18 07:51:12.728359
1140,PIT,07:45,TPA,10:00,Southwest Airlines,WN,False,,2024-09-18 07:51:12.728359
152,PIT,07:45,LNS,09:17,Southern Airways Express,6G,False,,2024-09-18 07:51:12.728359
5151,PIT,08:00,SDF,09:04,UPS,5X,False,,2024-09-18 07:51:12.728359
4436,PIT,08:00,DCA,09:12,American Airlines,AA,False,Operated by Republic Airways on behalf of American Airlines,2024-09-18 07:51:12.728359
384,PIT,08:00,CLT,09:31,American Airlines,AA,False,,2024-09-18 07:51:12.728359
999,PIT,08:01,PHL,09:14,American Airlines,AA,False,,2024-09-18 07:51:12.728359
5642,PIT,08:02,LGA,09:30,Delta Air Lines,DL,False,Operated by Republic Airways on behalf of Delta Air Lines,2024-09-18 07:51:12.728359
3669,PIT,08:10,EWR,09:47,United Airlines,UA,False,Operated by Republic Airways on behalf of United Airlines,2024-09-18 07:51:12.728359
2143,PIT,08:10,ATL,09:58,Delta Air Lines,DL,False,,2024-09-18 07:51:12.728359
2064,PIT,08:15,DEN,09:46,United Airlines,UA,False,,2024-09-18 07:51:12.728359
4610,PIT,08:17,LGA,09:41,American Airlines,AA,False,Operated by Republic Airways on behalf of American Airlines,2024-09-18 07:51:12.728359
2999,PIT,08:21,ORD,09:05,American Airlines,AA,False,,2024-09-18 07:51:12.728359
468,PIT,08:25,MEM,08:57,FedEx,FX,False,,2024-09-18 07:51:12.728359
304,PIT,08:30,BFD,09:25,Southern Airways Express,6G,False,,2024-09-18 07:51:12.728359
3461,PIT,08:49,ORD,09:39,United Airlines,UA,False,Operated by Republic Airways on behalf of United Airlines,2024-09-18 07:51:12.728359
4568,PIT,08:50,JFK,10:30,American Airlines,AA,False,Operated by Republic Airways on behalf of American Airlines,2024-09-18 07:51:12.728359
3643,PIT,09:00,MDW,09:20,Southwest Airlines,WN,False,,2024-09-18 07:51:12.728359
4186,PIT,09:01,EWR,10:30,United Airlines,UA,False,Operated by GoJet Airlines on behalf of United Airlines,2024-09-18 07:51:12.728359
183,PIT,09:15,DEN,10:35,Southwest Airlines,WN,False,,2024-09-18 07:51:12.728359
1286,PIT,09:33,BOS,11:12,JetBlue,B6,False,,2024-09-18 07:51:12.728359
4691,PIT,09:40,BWI,10:45,Southwest Airlines,WN,False,,2024-09-18 07:51:12.728359
9780,PIT,10:00,PHL,11:18,American Airlines,AA,False,,2024-09-18 07:51:12.728359
